
1 14 200 192 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 220 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 240 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 260 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 280 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 300 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 320 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 340 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 360 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 380 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 400 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 420 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 440 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 460 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 480 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 500 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 520 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 540 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 560 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 580 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 600 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 620 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 640 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 660 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 680 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 700 184 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 720 192 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 740 192 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 760 192 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 780 192 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 800 192 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 820 192 520  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 80 192 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 100 192 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 120 192 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 140 192 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 160 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 180 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 200 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 220 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 240 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 260 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 280 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 300 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 320 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 340 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 360 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 380 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 400 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 420 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 440 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 460 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 480 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 500 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 520 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 540 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 560 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 580 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 600 176 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 620 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 640 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 660 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 680 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 700 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 720 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 740 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 760 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 780 184 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 800 192 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 820 192 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 840 192 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 860 192 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 880 192 540  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 40 192 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 60 192 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 80 192 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 100 192 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 120 184 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 140 184 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 160 184 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 180 184 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 200 184 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 220 176 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 240 176 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 260 176 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 14 280 176 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 300 176 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 320 176 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 340 176 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 360 176 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 380 176 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 400 176 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 420 176 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 440 176 560  1 0 0 0 1 0 0 0 1 3005.DAT
1 2 460 176 560  1 0 0 0 1 0 0 0 1 3005.DAT
